Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",256.750000,-64.250000,0.000000,top
"C2","100nF","C_0402_1005Metric",256.827500,-65.970000,0.000000,top
"C3","100nF","C_0402_1005Metric",254.097500,-61.940000,0.000000,top
"C4","100nF","C_0402_1005Metric",254.097500,-63.910000,0.000000,top
"C5","100nF","C_0402_1005Metric",254.097500,-65.880000,0.000000,top
"C6","100nF","C_0402_1005Metric",256.967500,-59.000000,0.000000,top
"C7","10uF","C_0402_1005Metric",256.967500,-59.970000,0.000000,top
"C8","100nF","C_0402_1005Metric",256.967500,-61.940000,0.000000,top
"C9","12pF","C_0402_1005Metric",249.250000,-60.030000,0.000000,top
"C10","12pF","C_0402_1005Metric",249.250000,-62.000000,0.000000,top
"J1","Conn_02x12_Odd_Even","BM28B0624DP2035V51",253.000000,-21.500000,0.000000,top
"J2","Conn_02x12_Odd_Even","BM28B0624DP2035V51",261.525000,-21.493000,0.000000,top
"J3","USB_C_Receptacle","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",261.425000,-52.680000,90.000000,top
"J4","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",246.500000,-29.010000,0.000000,top
"R1","5.1kΩ","R_0402_1005Metric",250.990000,-44.260000,0.000000,top
"R2","5.1kΩ","R_0402_1005Metric",250.990000,-46.250000,0.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",258.000000,-34.000000,0.000000,top
"U2","LP2985-1.8","SOT-23-5",260.977500,-59.950000,0.000000,top
"U3","LP2985-3.3","SOT-23-5",260.977500,-64.040000,0.000000,top
"U4","W25Q16JVSS","SOIC-8_5.3x5.3mm_P1.27mm",257.837500,-44.345000,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",249.150000,-56.650000,0.000000,top
