Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF","C_0402_1005Metric",257.335000,-53.190000,0.000000,top
"C4","100nF","C_0402_1005Metric",257.335000,-55.160000,0.000000,top
"C5","100nF","C_0402_1005Metric",257.335000,-57.130000,0.000000,top
"C6","100nF","C_0402_1005Metric",260.205000,-49.250000,0.000000,top
"C7","10uF","C_0402_1005Metric",260.205000,-51.220000,0.000000,top
"C8","C","C_0402_1005Metric",260.205000,-53.190000,0.000000,top
"C9","12pF","C_0402_1005Metric",253.960000,-55.590000,0.000000,top
"C10","12pF","C_0402_1005Metric",253.960000,-57.560000,0.000000,top
"J1","Conn_02x12_Odd_Even","BM28B0624DP2035V51",253.000000,-21.500000,0.000000,top
"J2","Conn_02x12_Odd_Even","BM28B0624DP2035V51",261.525000,-21.493000,0.000000,top
"J4","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",246.500000,-29.010000,0.000000,top
"R1","R","R_0402_1005Metric",250.990000,-44.260000,0.000000,top
"R2","5.1kΩ","R_0402_1005Metric",250.990000,-46.250000,0.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",258.000000,-34.000000,0.000000,top
"U4","W25Q16JVSS","SOIC-8_5.3x5.3mm_P1.27mm",257.837500,-44.345000,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",253.900000,-52.150000,0.000000,top
